puhoc ,prefLabel ,ysoLinkLab ,ysoBroaderLab 
http://www.yso.fi/onto/puho/ph1661 ,hydrauliikka ,hydrodynamiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1663 ,biotekniikka ,tekniikka (tieteet) ,järjestelmät 
http://www.yso.fi/onto/puho/ph1663 ,biotekniikka ,tekniikka (tieteet) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1689 ,merikelpoisuus ,kelpoisuus ,yhteiskunnalliset ominaisuudet 
http://www.yso.fi/onto/puho/ph1712 ,radioaallot ,sähkömagneettinen säteily ,fysikaaliset tapahtumat 
http://www.yso.fi/onto/puho/ph1712 ,radioaallot ,sähkömagneettinen säteily ,tapahtumat 
http://www.yso.fi/onto/puho/ph1712 ,radioaallot ,sähkömagneettinen säteily ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph1713 ,päihdeongelmat ,sosiaaliset ongelmat ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1725 ,akustiikka ,fysiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1725 ,akustiikka ,fysiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph173 ,radioaktiivinen säteily ,ionisoiva säteily ,fysikaaliset tapahtumat 
http://www.yso.fi/onto/puho/ph173 ,radioaktiivinen säteily ,ionisoiva säteily ,tapahtumat 
http://www.yso.fi/onto/puho/ph173 ,radioaktiivinen säteily ,ionisoiva säteily ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph1731 ,salassapitovelvollisuus ,velvollisuudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1731 ,salassapitovelvollisuus ,velvollisuudet ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph1736 ,tuotantotekniikka ,tekniikka (tieteet) ,järjestelmät 
http://www.yso.fi/onto/puho/ph1736 ,tuotantotekniikka ,tekniikka (tieteet) ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1737 ,tuoteturvallisuus ,turvallisuus ,mentaaliset ominaisuudet 
http://www.yso.fi/onto/puho/ph1737 ,tuoteturvallisuus ,turvallisuus ,yhteiskunnalliset ominaisuudet 
http://www.yso.fi/onto/puho/ph1751 ,sumu ,sääilmiöt ,tapahtumat ja toiminta 
